name,parent,href,n_sub
CRM Software,Sales Software,https://www.g2.com/categories/crm,0
Sales Compensation Software,Sales Software,https://www.g2.com/categories/sales-compensation,0
AI Sales Assistant Software,Sales Software,https://www.g2.com/categories/ai-sales-assistant,0
Auto Dialer Software,Sales Software,https://www.g2.com/categories/auto-dialer,0
Contract Analytics Software,Sales Software,https://www.g2.com/categories/contract-analytics,0
Contract Lifecycle Management (CLM) Software,Sales Software,https://www.g2.com/categories/contract-lifecycle-management-clm,0
Contract Management Software,Sales Software,https://www.g2.com/categories/contract-management,0
Customer Revenue Optimization (CRO) Software,Sales Software,https://www.g2.com/categories/customer-revenue-optimization,0
E-Signature Software,Sales Software,https://www.g2.com/categories/e-signature,0
Field Sales Software,Sales Software,https://www.g2.com/categories/field-sales,0
Other Sales Software,Sales Software,https://www.g2.com/categories/other-sales,0
Partner Ecosystem Platforms Software,Sales Software,https://www.g2.com/categories/partner-ecosystem-platforms,0
Partner Management Software,Sales Software,https://www.g2.com/categories/partner-management,0
Quote Management Software,Sales Software,https://www.g2.com/categories/quote-management,5
CPQ Software,Quote Management Software,https://www.g2.com/categories/cpq,0
Pricing Software,Quote Management Software,https://www.g2.com/categories/pricing,0
Proposal Software,Quote Management Software,https://www.g2.com/categories/proposal,0
Quote-to-Cash Software,Quote Management Software,https://www.g2.com/categories/quote-to-cash,0
Visual Configuration Software,Quote Management Software,https://www.g2.com/categories/visual-configuration,0
Revenue Operations & Intelligence (RO&I) Software,Sales Software,https://www.g2.com/categories/revenue-operations-intelligence-ro-i,0
Sales Acceleration Software,Sales Software,https://www.g2.com/categories/sales-acceleration,12
Conversation Intelligence Software,Sales Acceleration Software,https://www.g2.com/categories/conversation-intelligence,0
Digital Sales Room Software,Sales Acceleration Software,https://www.g2.com/categories/digital-sales-room,0
Email Tracking Software,Sales Acceleration Software,https://www.g2.com/categories/email-tracking,0
Lead-to-Account Matching and Routing Software,Sales Acceleration Software,https://www.g2.com/categories/lead-to-account-matching-and-routing,0
